2026-04-16 16:01:16 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/climatebert/distilroberta-base-climate-f/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-04-16 16:01:17 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/climatebert/distilroberta-base-climate-f/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-04-16 16:02:07 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 16:02:07 | WARNING  | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-04-16 16:02:07 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/config.json "HTTP/1.1 200 OK"
2026-04-16 16:02:08 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 16:02:08 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/tokenizer_config.json "HTTP/1.1 200 OK"
2026-04-16 16:02:08 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/climatebert/distilroberta-base-climate-f/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-04-16 16:02:08 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/climatebert/distilroberta-base-climate-f/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-04-16 16:02:09 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 16:02:09 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/config.json "HTTP/1.1 200 OK"
2026-04-16 16:08:43 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 16:08:43 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/config.json "HTTP/1.1 200 OK"
2026-04-16 16:08:44 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 16:08:44 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/tokenizer_config.json "HTTP/1.1 200 OK"
2026-04-16 16:08:44 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/climatebert/distilroberta-base-climate-f/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-04-16 16:08:45 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/climatebert/distilroberta-base-climate-f/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-04-16 16:08:47 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 16:08:48 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/config.json "HTTP/1.1 200 OK"
2026-04-16 16:09:50 | INFO     | inference | Scoring 1 sentences …
2026-04-16 16:09:51 | WARNING  | inference | No sentences found for pillar 'S'.  Assigning score 0.
2026-04-16 16:09:51 | WARNING  | inference | No sentences found for pillar 'G'.  Assigning score 0.
2026-04-16 16:13:04 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 16:13:04 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/config.json "HTTP/1.1 200 OK"
2026-04-16 16:13:05 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 16:13:05 | WARNING  | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-04-16 16:13:05 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/tokenizer_config.json "HTTP/1.1 200 OK"
2026-04-16 16:13:06 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/climatebert/distilroberta-base-climate-f/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-04-16 16:13:06 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/climatebert/distilroberta-base-climate-f/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-04-16 16:13:06 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 16:13:06 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/config.json "HTTP/1.1 200 OK"
2026-04-16 16:13:28 | INFO     | inference | Scoring 1 sentences …
2026-04-16 16:13:28 | WARNING  | inference | No sentences found for pillar 'S'.  Assigning score 0.
2026-04-16 16:13:28 | WARNING  | inference | No sentences found for pillar 'G'.  Assigning score 0.
2026-04-16 16:14:37 | INFO     | inference | Scoring 3 sentences …
2026-04-16 16:14:37 | WARNING  | inference | No sentences found for pillar 'G'.  Assigning score 0.
2026-04-16 16:15:11 | INFO     | inference | Scoring 5 sentences …
2026-04-16 16:19:54 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 16:19:54 | WARNING  | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-04-16 16:19:54 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/config.json "HTTP/1.1 200 OK"
2026-04-16 16:19:54 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 16:19:54 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/tokenizer_config.json "HTTP/1.1 200 OK"
2026-04-16 16:19:55 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/climatebert/distilroberta-base-climate-f/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-04-16 16:19:55 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/climatebert/distilroberta-base-climate-f/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-04-16 16:19:55 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 16:19:55 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/config.json "HTTP/1.1 200 OK"
2026-04-16 16:22:08 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 16:22:08 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/config.json "HTTP/1.1 200 OK"
